ts_event,symbol,side,order_type,qty,limit_px
2024-05-02 14:30:10.985880661+00:00,TSLA,buy,market,10,
2024-05-02 14:35:18.835575756+00:00,TSLA,buy,market,10,
2024-05-02 14:40:25.066229382+00:00,TSLA,buy,market,10,
2024-05-02 14:45:44.262127119+00:00,TSLA,buy,market,10,
2024-05-02 14:50:56.474875016+00:00,TSLA,buy,market,10,
2024-05-02 14:56:06.618445783+00:00,TSLA,buy,market,10,
2024-05-02 15:01:21.083080598+00:00,TSLA,buy,market,10,
2024-05-02 15:06:25.348638548+00:00,TSLA,buy,market,10,
2024-05-02 15:11:39.159114377+00:00,TSLA,buy,market,10,
2024-05-02 15:16:50.025855711+00:00,TSLA,sell,market,10,
2024-05-02 15:21:50.044355258+00:00,TSLA,buy,market,10,
2024-05-02 15:27:04.886214013+00:00,TSLA,buy,market,10,
2024-05-02 15:32:20.423233140+00:00,TSLA,buy,market,10,
2024-05-02 15:37:41.965666645+00:00,TSLA,buy,market,10,
2024-05-02 15:42:55.935234262+00:00,TSLA,sell,market,10,
2024-05-02 15:48:02.915325078+00:00,TSLA,sell,market,10,
2024-05-02 15:53:18.443507866+00:00,TSLA,buy,market,10,
2024-05-02 15:58:21.474859615+00:00,TSLA,sell,market,10,
2024-05-02 16:03:23.141109791+00:00,TSLA,buy,market,10,
2024-05-02 16:08:36.534905545+00:00,TSLA,sell,market,10,
2024-05-02 16:13:43.258966374+00:00,TSLA,buy,market,10,
2024-05-02 16:18:43.321232792+00:00,TSLA,buy,market,10,
2024-05-02 16:23:44.992335636+00:00,TSLA,sell,market,10,
2024-05-02 16:28:46.389589494+00:00,TSLA,sell,market,10,
2024-05-02 16:33:53.160989841+00:00,TSLA,sell,market,10,
2024-05-02 16:38:58.132973454+00:00,TSLA,sell,market,10,
2024-05-02 16:44:00.374793933+00:00,TSLA,buy,market,10,
2024-05-02 16:49:20.895858370+00:00,TSLA,buy,market,10,
2024-05-02 16:54:27.474618511+00:00,TSLA,sell,market,10,
2024-05-02 16:59:37.814694956+00:00,TSLA,sell,market,10,
2024-05-02 17:04:40.536290300+00:00,TSLA,buy,market,10,
2024-05-02 17:09:41.807884451+00:00,TSLA,sell,market,10,
2024-05-02 17:14:42.678211746+00:00,TSLA,buy,market,10,
2024-05-02 17:19:49.758307761+00:00,TSLA,buy,market,10,
2024-05-02 17:24:49.869572247+00:00,TSLA,buy,market,10,
2024-05-02 17:30:02.615310419+00:00,TSLA,sell,market,10,
2024-05-02 17:35:04.764502261+00:00,TSLA,buy,market,10,
2024-05-02 17:40:05.617929057+00:00,TSLA,sell,market,10,
2024-05-02 17:45:07.685926664+00:00,TSLA,sell,market,10,
2024-05-02 17:50:26.681837993+00:00,TSLA,sell,market,10,
2024-05-02 17:55:30.087083792+00:00,TSLA,buy,market,10,
2024-05-02 18:00:31.249692996+00:00,TSLA,sell,market,10,
2024-05-02 18:05:37.593753033+00:00,TSLA,buy,market,10,
2024-05-02 18:10:50.697637841+00:00,TSLA,sell,market,10,
2024-05-02 18:15:54.404257162+00:00,TSLA,sell,market,10,
2024-05-02 18:21:07.802996500+00:00,TSLA,buy,market,10,
2024-05-02 18:26:15.218253455+00:00,TSLA,sell,market,10,
2024-05-02 18:31:20.488425506+00:00,TSLA,sell,market,10,
2024-05-02 18:36:21.339718827+00:00,TSLA,sell,market,10,
2024-05-02 18:41:31.024076810+00:00,TSLA,sell,market,10,
2024-05-02 18:46:38.866631515+00:00,TSLA,sell,market,10,
2024-05-02 18:51:39.400156644+00:00,TSLA,buy,market,10,
2024-05-02 18:56:46.412225822+00:00,TSLA,buy,market,10,
2024-05-02 19:01:46.985240147+00:00,TSLA,buy,market,10,
2024-05-02 19:06:50.340456602+00:00,TSLA,sell,market,10,
2024-05-02 19:12:00.590418762+00:00,TSLA,sell,market,10,
2024-05-02 19:17:13.468237651+00:00,TSLA,sell,market,10,
2024-05-02 19:22:14.026248793+00:00,TSLA,buy,market,10,
2024-05-02 19:27:14.876507605+00:00,TSLA,buy,market,10,
2024-05-02 19:32:15.913264191+00:00,TSLA,buy,market,10,
2024-05-02 19:37:16.575410417+00:00,TSLA,sell,market,10,
2024-05-02 19:42:36.016026043+00:00,TSLA,sell,market,10,
2024-05-02 19:47:52.475608359+00:00,TSLA,buy,market,10,
2024-05-02 19:52:54.442155477+00:00,TSLA,buy,market,10,
2024-05-02 19:57:56.769122271+00:00,TSLA,sell,market,10,
2024-05-02 20:03:17.147141126+00:00,TSLA,buy,market,10,
2024-05-02 20:11:04.933765182+00:00,TSLA,sell,market,10,
2024-05-02 20:26:44.213109398+00:00,TSLA,sell,market,10,
2024-05-02 20:34:36.352044920+00:00,TSLA,sell,market,10,
2024-05-02 20:43:31.228051168+00:00,TSLA,buy,market,10,
2024-05-02 20:52:03.312687463+00:00,TSLA,buy,market,10,
2024-05-02 20:57:56.560151468+00:00,TSLA,sell,market,10,
